# Residuals   
# Time        	p             	Ux            	Uy            
23.4          	1.521430e-01	1.500730e-03	1.419529e-03
23.5          	1.701515e-01	1.353473e-03	1.543011e-03
23.6          	1.506516e-01	1.482887e-03	1.399398e-03
23.7          	1.679847e-01	1.339731e-03	1.519468e-03
23.8          	1.485606e-01	1.469722e-03	1.378290e-03
23.9          	1.655210e-01	1.327795e-03	1.495707e-03
24            	1.461543e-01	1.457999e-03	1.358646e-03
24.1          	1.627714e-01	1.316677e-03	1.470447e-03
24.2          	1.437004e-01	1.446965e-03	1.338578e-03
24.3          	1.600419e-01	1.306239e-03	1.446792e-03
24.4          	1.413293e-01	1.435717e-03	1.319308e-03
24.5          	1.573425e-01	1.296312e-03	1.423860e-03
24.6          	1.390468e-01	1.424479e-03	1.300572e-03
24.7          	1.542665e-01	1.286672e-03	1.401522e-03
24.8          	1.356839e-01	1.408554e-03	1.277906e-03
24.9          	1.494893e-01	1.275449e-03	1.369197e-03
25            	1.319536e-01	1.392099e-03	1.254497e-03
25.1          	1.448818e-01	1.263648e-03	1.338865e-03
25.2          	1.282950e-01	1.376425e-03	1.231498e-03
25.3          	1.404629e-01	1.252094e-03	1.310106e-03
25.4          	1.247608e-01	1.361282e-03	1.209148e-03
25.5          	1.362623e-01	1.240593e-03	1.282641e-03
25.6          	1.213487e-01	1.346681e-03	1.187477e-03
25.7          	1.322457e-01	1.229304e-03	1.256314e-03
25.8          	1.180609e-01	1.332489e-03	1.166492e-03
25.9          	1.283958e-01	1.218241e-03	1.230986e-03
26            	1.148912e-01	1.318669e-03	1.146168e-03
26.1          	1.247047e-01	1.207391e-03	1.206559e-03
26.2          	1.118392e-01	1.305183e-03	1.126477e-03
26.3          	1.211622e-01	1.196749e-03	1.183033e-03
26.4          	1.085782e-01	1.292024e-03	1.107392e-03
26.5          	1.163240e-01	1.186184e-03	1.153945e-03
26.6          	1.045533e-01	1.274975e-03	1.084092e-03
26.7          	1.114893e-01	1.174412e-03	1.125923e-03
26.8          	1.006377e-01	1.258871e-03	1.062019e-03
26.9          	1.069684e-01	1.162603e-03	1.099849e-03
27            	9.690485e-02	1.243528e-03	1.041039e-03
27.1          	1.027109e-01	1.151078e-03	1.075367e-03
27.2          	9.334780e-02	1.228844e-03	1.020975e-03
27.3          	9.869129e-02	1.139870e-03	1.052317e-03
27.4          	8.996027e-02	1.214711e-03	1.001766e-03
27.5          	9.489007e-02	1.128967e-03	1.030458e-03
27.6          	8.673263e-02	1.201072e-03	9.833348e-04
27.7          	9.128093e-02	1.118429e-03	1.009647e-03
27.8          	8.367148e-02	1.187707e-03	9.656235e-04
27.9          	8.785537e-02	1.108175e-03	9.897961e-04
28            	8.073892e-02	1.174915e-03	9.485803e-04
28.1          	8.461191e-02	1.098073e-03	9.707931e-04
28.2          	7.794133e-02	1.162516e-03	9.321578e-04
28.3          	8.153065e-02	1.088206e-03	9.525345e-04
28.4          	7.527196e-02	1.150470e-03	9.163551e-04
28.5          	7.860246e-02	1.078561e-03	9.349892e-04
28.6          	7.272481e-02	1.138741e-03	9.011164e-04
28.7          	7.575689e-02	1.069869e-03	9.176284e-04
28.8          	7.026461e-02	1.127439e-03	8.861969e-04
28.9          	7.310438e-02	1.060596e-03	9.013725e-04
29            	6.793914e-02	1.116274e-03	8.719379e-04
29.1          	7.058401e-02	1.051496e-03	8.858629e-04
29.2          	6.572001e-02	1.105379e-03	8.581469e-04
29.3          	6.818397e-02	1.042562e-03	8.709051e-04
29.4          	6.360088e-02	1.094741e-03	8.447804e-04
29.5          	6.589527e-02	1.033806e-03	8.564705e-04
29.6          	6.157716e-02	1.084341e-03	8.318376e-04
29.7          	6.371573e-02	1.025189e-03	8.425235e-04
29.8          	5.964050e-02	1.074152e-03	8.192856e-04
29.9          	6.163730e-02	1.016702e-03	8.290323e-04
30            	5.778683e-02	1.064166e-03	8.070952e-04
30.1          	5.965355e-02	1.008339e-03	8.159938e-04
30.2          	5.602685e-02	1.053793e-03	7.953416e-04
30.3          	5.775917e-02	9.999740e-04	8.034319e-04
30.4          	5.432437e-02	1.044162e-03	7.838108e-04
30.5          	5.594489e-02	9.918444e-04	7.911633e-04
30.6          	5.269200e-02	1.034713e-03	7.725624e-04
30.7          	5.421149e-02	9.838219e-04	7.792481e-04
30.8          	5.112736e-02	1.025424e-03	7.616373e-04
30.9          	5.255313e-02	9.759044e-04	7.676835e-04
31            	4.962854e-02	1.016286e-03	7.509958e-04
31.1          	5.096568e-02	9.680827e-04	7.564365e-04
31.2          	4.819040e-02	1.007287e-03	7.406330e-04
31.3          	4.944693e-02	9.603490e-04	7.454983e-04
31.4          	4.681041e-02	9.984169e-04	7.305373e-04
31.5          	4.799253e-02	9.526985e-04	7.348802e-04
