Zeit_s,T_ref_C,RTD_dig,T_Pt100_C
4275.0,26.37,8551,31.39
4280.0,26.37,8551,31.39
4285.0,26.37,8550,31.36
4290.0,26.31,8549,31.36
4295.0,26.31,8550,31.32
4300.0,26.31,8548,31.32
4305.0,26.31,8548,31.29
4310.0,26.25,8547,31.29
4315.0,26.25,8547,31.29
4320.0,26.25,8547,31.22
4325.0,26.19,8546,31.25
4330.0,26.19,8546,31.19
4335.0,26.19,8546,31.19
4340.0,26.12,8545,31.19
4345.0,26.12,8544,31.15
4350.0,26.12,8544,31.15
4355.0,26.12,8543,31.12
4360.0,26.06,8543,31.12
4365.0,26.06,8542,31.05
4370.0,26.06,8541,31.05
4375.0,26.0,8541,31.02
4380.0,26.0,8540,31.02
4385.0,26.0,8539,31.02
4390.0,26.0,8539,31.02
